source,target,weight
0,11,0.4603174603174603
0,4,0.40625
1,34,0.3888888888888889
2,100,0.5042735042735043
2,87,0.3333333333333333
3,18,0.5344827586206896
3,67,0.46153846153846156
5,33,0.3191489361702128
6,7,0.6176470588235294
6,16,0.5581395348837209
6,13,0.524390243902439
7,24,0.5865384615384616
7,100,0.5042735042735043
8,13,0.4230769230769231
9,22,0.5
9,11,0.4918032786885246
10,16,0.5465116279069767
10,23,0.5301204819277109
11,13,0.5
11,14,0.4838709677419355
12,51,0.39473684210526316
13,51,0.6153846153846154
15,20,0.47058823529411764
16,21,0.5116279069767442
16,43,0.45348837209302323
17,20,0.4918032786885246
18,20,0.5409836065573771
18,21,0.5352112676056338
18,19,0.5079365079365079
19,60,0.48484848484848486
20,33,0.5573770491803278
24,30,0.3942307692307692
25,70,0.4090909090909091
25,43,0.4
26,30,0.36
27,30,0.43333333333333335
27,79,0.38181818181818183
28,37,0.43478260869565216
28,88,0.42857142857142855
28,36,0.35
28,97,0.2727272727272727
29,31,0.5185185185185185
29,38,0.4444444444444444
32,33,0.40425531914893614
32,95,0.32558139534883723
34,38,0.4666666666666667
34,37,0.4
35,76,0.40350877192982454
37,86,0.30434782608695654
38,47,0.5161290322580645
38,85,0.5
38,82,0.4666666666666667
39,68,0.5
40,51,0.5
40,71,0.45714285714285713
41,64,0.5333333333333333
41,52,0.5
41,57,0.45714285714285713
41,65,0.2413793103448276
42,50,0.4411764705882353
42,72,0.4
42,101,0.13793103448275862
44,63,0.15384615384615385
45,60,0.30303030303030304
46,47,0.3548387096774194
46,74,0.30434782608695654
47,77,0.375
48,55,0.4166666666666667
49,52,0.3333333333333333
52,66,0.3
53,54,0.5526315789473685
54,57,0.5789473684210527
54,68,0.5384615384615384
55,69,0.5652173913043478
55,56,0.3695652173913043
57,59,0.6
57,94,0.4
58,80,0.52
58,81,0.48
60,61,0.8028169014084507
60,63,0.4393939393939394
61,62,0.5915492957746479
67,69,0.5909090909090909
67,72,0.5909090909090909
67,75,0.4807692307692308
68,69,0.5454545454545454
71,73,0.4
72,92,0.625
72,84,0.5
72,85,0.5
73,76,0.38596491228070173
75,96,0.34615384615384615
78,83,0.2857142857142857
80,85,0.4642857142857143
81,93,0.2857142857142857
82,83,0.5666666666666667
88,90,0.38095238095238093
89,94,0.3181818181818182
91,92,0.39473684210526316
98,99,0.5393258426966292
99,100,0.5384615384615384
